hour_of_year,temperature_in,day_of_year
1,67.5064227236842,1
2,67.38494925,1
3,67.6034505482456,1
4,67.8027071491228,1
5,67.8196614736842,1
6,67.5693741359649,1
7,67.4691533947369,1
8,67.1815850482456,1
9,67.1244729692983,1
10,68.0617662807017,1
11,68.5419364780702,1
12,68.6109161052632,1
13,68.6868742061404,1
14,68.7998613157895,1
15,69.2824004298245,1
16,69.5437535,1
17,69.4008549122807,1
18,69.3153549473684,1
19,69.4208134254386,1
20,69.3335047631579,1
21,69.5858581578947,1
22,69.2417769561404,1
23,68.8347094561403,1
24,68.6737527149123,1
25,68.4477013859649,2
26,68.3235971885965,2
27,68.2179142982456,2
28,67.9088986096491,2
29,67.6203425964912,2
30,67.0627988417679,2
31,67.3689790964912,2
32,68.0274517061404,2
33,68.8374187017544,2
34,69.0214525394737,2
35,68.7927442807017,2
36,68.7293071710526,2
37,68.8813001710527,2
38,69.5310802894737,2
39,70.120966627193,2
40,70.2883333640351,2
41,70.4846618114035,2
42,70.414165877193,2
43,70.2802173026316,2
44,70.204877995614,2
45,70.1093222938596,2
46,70.0265006666667,2
47,69.8748153377193,2
48,69.5434166842105,2
49,68.9269591885965,3
50,68.4392671798246,3
51,68.052818368421,3
52,67.795530254386,3
53,67.5115614868421,3
54,67.2330959166667,3
55,67.8119505175438,3
56,68.0389227982456,3
57,68.9100792149123,3
58,69.412772877193,3
59,69.3628258157895,3
60,69.420301618421,3
61,69.5021986535088,3
62,69.822294622807,3
63,70.0402084736842,3
64,70.1382431447369,3
65,69.9448574561404,3
66,70.4685856491228,3
67,70.5460901403509,3
68,70.574602754386,3
69,70.3902720833333,3
70,69.8677947105263,3
71,69.387207872807,3
72,68.7671117061403,3
73,68.1248548289474,4
74,67.4636232149123,4
75,67.1448785438597,4
76,66.8524837850877,4
77,66.8041492938597,4
78,66.7358390964912,4
79,67.2711031622807,4
80,67.7110067850877,4
81,68.5135847894737,4
82,69.0051559561403,4
83,69.078672254386,4
84,68.9936426929824,4
85,68.8526567763158,4
86,69.0685471008772,4
87,69.3200863070175,4
88,69.2065451798246,4
89,69.3919439035088,4
90,70.0296706710526,4
91,70.266520122807,4
92,70.3268120877193,4
93,70.2547700438597,4
94,69.8636564078948,4
95,69.5711674254386,4
96,69.1061705263158,4
97,68.7078854780702,5
98,68.1400256491228,5
99,67.8405505877193,5
100,67.7091267061403,5
101,67.527217122807,5
102,67.0820196885965,5
103,67.34522325,5
104,67.7499089122807,5
105,68.5292871359649,5
106,69.1058075,5
107,69.407717877193,5
108,69.5492769605263,5
109,69.2243596315789,5
110,69.1327478640351,5
111,69.3301225394737,5
112,69.4818680877193,5
113,69.6577092061403,5
114,69.5367825482456,5
115,69.7336041140351,5
116,69.9125467982456,5
117,69.8443575964912,5
118,69.8633049210526,5
119,69.5031041491228,5
120,68.8817139385965,5
121,68.1710665614035,6
122,67.6181684210526,6
123,67.238140622807,6
124,66.9587274166667,6
125,66.6260435526316,6
126,66.2697791140351,6
127,66.0146200087719,6
128,66.4446600570176,6
129,67.9055424692983,6
