hour_of_year,temperature_in,day_of_year
1,67.5490551676587,1
2,67.1662597242063,1
3,66.7520810858517,1
4,66.2940028998016,1
5,65.9784162490079,1
6,65.9318665331325,1
7,65.9345758955823,1
8,66.085127685743,1
9,66.4916502108434,1
10,66.783684109127,1
11,67.3137706526105,1
12,67.7083445763052,1
13,68.0252327198795,1
14,68.0566508925703,1
15,68.300848746988,1
16,68.4184914146586,1
17,68.5175975532128,1
18,68.7209485843374,1
19,68.9835647329317,1
20,69.0669204188492,1
21,68.9583915029762,1
22,68.7985865267857,1
23,68.2837864139385,1
24,67.7375723561508,1
25,67.181755156746,2
26,66.6387815019841,2
27,66.2621321388889,2
28,65.7810551673753,2
29,65.4689670757784,2
30,65.5325999265873,2
31,65.8027891944444,2
32,66.2559680224359,2
33,66.5419804295635,2
34,67.0059927202381,2
35,67.4723066339286,2
36,67.6252527003968,2
37,67.5333621726191,2
38,67.6502282896826,2
39,67.742636968254,2
40,67.8946116478174,2
41,68.1373264196429,2
42,68.478131656746,2
43,68.711239047619,2
44,68.8009119047619,2
45,68.9016537013889,2
46,68.8331586299603,2
47,68.4611156349206,2
48,67.9692060585317,2
49,67.3944823244048,3
50,67.0528792733739,3
51,66.4562408871951,3
52,66.0941899735773,3
53,65.7835515335366,3
54,65.9097409543173,3
55,66.2136065593434,3
56,66.486298844246,3
57,66.7359269851191,3
58,67.0851770337302,3
59,67.3835099732143,3
60,67.3719304632936,3
61,67.4696500515873,3
62,67.6589080486111,3
63,67.6709736305221,3
64,67.8240358242972,3
65,68.0850365823293,3
66,68.3785747088353,3
67,68.5576487896825,3
68,68.7537817827381,3
69,68.8880246676587,3
70,68.8726554821429,3
71,68.5411944017857,3
72,68.0429875099206,3
73,67.5348335595238,4
74,67.032435757326,4
75,66.4978325456349,4
76,66.1163693234127,4
77,65.7117528581349,4
78,65.7543025843374,4
79,66.0411161074297,4
80,66.430355998996,4
81,66.8175963222892,4
82,67.2460141626984,4
83,67.5780782212302,4
84,67.5954737857143,4
85,67.6157619047619,4
86,67.6792637321429,4
87,67.6267792589286,4
88,67.7963747058233,4
89,68.1561053202811,4
90,68.5252642068273,4
91,68.8298960532129,4
92,68.8497922569445,4
93,69.0686192867064,4
94,69.0482842539682,4
95,68.8278025605159,4
96,68.3860037976191,4
97,67.7901646289683,5
98,67.342445516865,5
