hour_of_year,temperature_in,day_of_year
1,67.9506108737745,1
2,67.5400264938725,1
3,67.1642155575981,1
4,66.9155150367647,1
5,66.6640908688725,1
6,66.5580974105392,1
7,66.8069819215687,1
8,67.0492430931373,1
9,67.2611645110294,1
10,67.5113078419117,1
11,67.7542245943627,1
12,68.0087556409314,1
13,68.2329681568627,1
14,68.5576402708333,1
15,68.7694165502451,1
16,68.823815307598,1
17,68.8468590845588,1
18,68.9325072352941,1
19,69.0374237058824,1
20,69.1446817267157,1
21,69.1588394178922,1
22,69.0421977438726,1
23,68.7550040539216,1
24,68.3835533517157,1
25,67.9791972772059,2
26,67.5064722156863,2
27,67.0831736066177,2
28,66.6583476066177,2
29,66.3726824739819,2
30,66.1486880860071,2
31,66.3950443443628,2
32,66.6668116568628,2
33,66.9401294154412,2
34,67.2094499889706,2
35,67.6545108419118,2
36,67.8665529914216,2
37,68.2521794816176,2
38,68.4752669595588,2
39,68.6478889338235,2
40,68.7973245085784,2
41,68.6723659338235,2
42,68.6484352806373,2
43,68.8124268026961,2
44,69.1169914718138,2
45,69.4256404387255,2
46,69.5238250612745,2
47,69.2757866519608,2
48,68.7973014313725,2
49,68.2627665073529,3
50,67.7097359056373,3
51,67.211928685049,3
52,66.7875937316176,3
53,66.530207375,3
54,66.345141442402,3
55,66.5685329754902,3
56,66.8960120686275,3
57,67.159880497549,3
58,67.3619357205882,3
59,67.5513204718137,3
60,67.7036278946079,3
61,67.9300172671569,3
62,68.1337231715686,3
63,68.2544589473039,3
64,68.3835720980392,3
65,68.3045634632353,3
66,68.3708716372549,3
67,68.5888379460785,3
68,68.8330053455882,3
69,68.8515131004902,3
70,68.7824922181373,3
71,68.6428210294118,3
72,68.3399666433823,3
73,67.8892275183824,4
74,67.2911011752451,4
75,66.8164684411765,4
76,66.4671737144608,4
77,66.2419821936274,4
78,66.1412348088235,4
79,66.4559982892157,4
80,66.9686430318627,4
81,67.1895517144608,4
82,67.3118749338235,4
83,67.5728300306372,4
84,67.7432111164216,4
85,67.9678343713235,4
86,68.0194841973039,4
87,68.0231277598039,4
88,67.9754344154412,4
89,68.0304837083333,4
90,68.3737695612745,4
91,68.789436060049,4
92,69.2203867181373,4
93,69.2649276458333,4
94,69.2522948112745,4
95,69.0491530343137,4
96,68.6141626764706,4
97,68.1764922769608,5
98,67.730951007353,5
99,67.3163499080882,5
100,66.9828732965686,5
101,66.7479327769608,5
102,66.6915385392157,5
103,66.9802312071078,5
104,67.2407140220588,5
105,67.553667692402,5
106,67.6879259313726,5
107,67.9014957818627,5
108,68.1026077291666,5
109,68.2595867928922,5
110,68.3702908517157,5
111,68.3787123615196,5
112,68.4799486384804,5
113,68.5268465968137,5
114,68.6794316789216,5
115,69.0648370772059,5
116,69.3807660857843,5
117,69.5333279460784,5
118,69.5449862034314,5
119,69.3138782512255,5
120,68.9791679031863,5
121,68.6227744656862,6
122,68.2368845220588,6
123,67.8146837683824,6
124,67.4791181397059,6
125,67.150467185049,6
126,66.9506897193627,6
127,67.1447126960785,6
128,67.2032000441177,6
129,67.2781184473039,6
130,67.4516113321079,6
131,67.6539612095588,6
132,67.8450828345771,6
133,68.2310163017677,6
134,68.4811453295454,6
135,68.6517427840909,6
136,68.7601808569652,6
137,68.8089194473039,6
138,68.8386440588235,6
139,68.8816986838236,6
140,69.0744325306373,6
141,69.0481591960785,6
142,69.0056767426471,6
143,68.9119038443627,6
144,68.5719426078431,6
145,68.1819638247549,7
146,67.7559791151961,7
147,67.543121817402,7
148,67.2613226776961,7
149,66.9738777487745,7
150,66.7488265392157,7
151,66.947383877451,7
152,67.1804848284314,7
153,67.3394801691177,7
154,67.6644472941177,7
155,68.0713497549019,7
156,68.2307644852941,7
157,68.4243283094363,7
158,68.571504681592,7
159,68.6583428942786,7
160,68.6910865485075,7
161,68.7415305696518,7
162,68.8717646188725,7
163,68.9925023627451,7
164,69.1437788026961,7
165,69.1785743431373,7
166,69.1009964926471,7
167,69.0417982830882,7
168,68.7045579705882,7
169,68.3188626654412,8
170,67.9233569693628,8
171,67.5768175343137,8
172,67.1751899816176,8
173,66.8861654227941,8
174,66.7370000257353,8
175,66.9383195171569,8
176,67.2469118125,8
177,67.4395065490196,8
178,67.5668213529412,8
179,67.8495169264706,8
180,68.088267377451,8
181,68.3753122818627,8
182,68.6090645637255,8
183,68.6603399068627,8
184,68.5784367573529,8
185,68.6163845281863,8
186,68.8913351691177,8
187,69.1053136372549,8
188,69.2619501580882,8
189,69.3312352732843,8
190,69.3852010085784,8
191,69.2079692781863,8
192,68.8906376678922,8
193,68.5256109289216,9
194,68.1259120821079,9
195,67.7685367340686,9
196,67.5291626164216,9
197,67.2564434803922,9
198,67.0609791593137,9
199,67.194743713141,9
200,67.4865148785688,9
201,67.7165686531863,9
202,67.7334551747995,9
203,67.8613887674129,9
204,67.9233799925373,9
205,68.1225044004975,9
206,68.2620228396465,9
207,68.4015194684343,9
208,68.4597780895522,9
209,68.6067000348259,9
210,68.695439641791,9
211,69.0051795845771,9
212,69.3634980211443,9
213,69.3124513258707,9
214,69.3396057263682,9
215,69.1186637263682,9
216,68.7204337574627,9
217,68.350424449005,10
218,67.9614321840796,10
219,67.552696949005,10
220,67.2174387064677,10
221,66.8424618383085,10
222,66.5405800559702,10
223,66.6595486679104,10
224,66.9049434577114,10
225,67.2051698917911,10
226,67.3521174067164,10
227,67.6345416368159,10
228,67.730798579602,10
229,67.9633692498196,10
230,68.0625180277778,10
231,68.1723300113636,10
232,68.2728769381313,10
233,68.3649292524876,10
234,68.4469987300995,10
235,68.6976386231343,10
236,69.0607005895522,10
237,69.0762648146766,10
