hour_of_year,temperature_in,day_of_year
1,66.5564263766666,1
2,66.1476097655555,1
3,65.7526187588889,1
4,65.4611543133333,1
5,65.1254801233333,1
6,64.96822603,1
7,64.9141821211111,1
8,64.97668477,1
9,65.1032646311111,1
10,65.4718648266667,1
11,65.9976270371622,1
12,66.3650572004504,1
13,66.6752100191441,1
14,66.9076143547297,1
15,67.2242942972973,1
16,67.3044052759009,1
17,67.4609229313063,1
18,67.7058213772523,1
19,67.9257429042793,1
20,67.9411459624444,1
21,67.9108014755556,1
22,67.9179169533333,1
23,67.6197648191667,1
24,66.9819550288889,1
25,66.3686664511111,2
26,65.8584900033333,2
27,65.40352158,2
28,64.9456020385715,2
29,64.5723251844444,2
30,64.527650097094,2
31,64.7432589788889,2
32,64.9149414322222,2
33,65.1435647011112,2
34,65.5316859822222,2
35,66.0652488077778,2
36,66.3217575522222,2
37,66.2787442911111,2
38,66.4207629711111,2
39,66.5339709088889,2
40,66.6062334466667,2
41,66.8453062622222,2
42,67.0687737622222,2
43,67.28503382,2
44,67.7499232817983,2
45,68.0282813432018,2
46,68.1021424868421,2
47,67.7700787653509,2
48,67.2373375515351,2
49,66.5845951875,3
50,66.1319285922222,3
51,65.6906836077777,3
52,65.2658891666667,3
53,64.9766156911111,3
54,64.9935676355556,3
55,65.0170538704147,3
56,65.2184748925438,3
57,65.2928413793859,3
58,65.608655685307,3
59,66.0305363139952,3
60,66.0979946699561,3
61,66.2561551962719,3
62,66.5298098114035,3
63,66.6419024511111,3
64,66.8712358322222,3
65,66.9213916711111,3
66,67.0885885533333,3
67,67.2393172171053,3
68,67.4589413739035,3
69,67.5906846633772,3
70,67.6450053530702,3
71,67.4544480745614,3
72,66.9966201776316,3
73,66.523760939693,4
74,66.1261704379217,4
75,65.700685191886,4
76,65.326006310307,4
77,65.0461891348684,4
78,65.0307258033333,4
79,65.1391956388889,4
80,65.3327349022222,4
81,65.5254857266667,4
82,65.9392071491228,4
83,66.349885497807,4
84,66.4311913179825,4
85,66.4672672554825,4
86,66.4885498837719,4
87,66.4423891864035,4
88,66.6054359833334,4
89,66.7995159133333,4
90,67.2043181177778,4
91,67.4384016077778,4
92,67.5255922642544,4
93,67.6898082686404,4
94,67.7739665644444,4
95,67.7263372622222,4
96,67.4562852833334,4
97,67.0130080644445,5
98,66.5865538316886,5
99,66.1701176513158,5
100,65.8530415296053,5
101,65.6467420186404,5
102,65.5605538574561,5
103,65.6360188442983,5
104,65.9652042677778,5
105,66.1904831044445,5
106,66.26622553,5
107,66.4969802702703,5
108,66.79785557,5
109,66.84155472,5
110,66.9849960911111,5
111,66.9898317788889,5
112,67.0818678484849,5
113,67.2290536265656,5
114,67.47099048,5
115,67.6976970555556,5
116,67.8919790844444,5
117,68.1638559155555,5
118,68.2989671294856,5
119,68.215484569079,5
120,67.9147694934211,5
121,67.5827957741228,6
122,67.1795945657895,6
123,66.8651992916667,6
124,66.6170994660088,6
125,66.3421292796053,6
126,66.0697358969298,6
127,66.1745780155556,6
128,66.37022131,6
129,66.6195938220721,6
130,66.8518957083333,6
131,67.0529122005556,6
132,67.3449384811111,6
133,67.4897463327778,6
134,67.7577980711111,6
135,67.8790436944444,6
136,67.8793602688889,6
137,67.992329875,6
138,68.1716429320175,6
139,68.271326933114,6
140,68.4516800570176,6
141,68.6281002697368,6
142,68.6739989550439,6
143,68.4664472160088,6
144,68.0320524846491,6
145,67.2849966288889,7
146,66.7929551866667,7
147,66.3897318877778,7
148,65.9540799394444,7
149,65.8207248648889,7
150,65.5151818255556,7
151,65.3829687711111,7
152,65.6852419644445,7
153,66.02499425,7
154,66.5524937949562,7
155,66.6976485255555,7
156,67.0282351322222,7
157,67.1364325523649,7
158,67.641816369863,7
159,68.0447389859234,7
160,68.1677194650901,7
161,68.3313490444444,7
162,68.5292723746013,7
163,68.7290657379386,7
164,68.6677844555423,7
165,68.7332190964912,7
166,68.7022710394737,7
167,68.5058374736842,7
168,68.0445896202153,7
169,67.6262551944444,8
170,67.1770253777778,8
171,66.7910815133334,8
172,66.4157347988889,8
173,66.0616247422222,8
174,65.7288508497807,8
175,65.6480753804824,8
176,65.8608873782895,8
177,65.9805060032895,8
178,66.2987690433333,8
179,66.5669416122222,8
180,66.8264042811111,8
181,66.9673041277778,8
182,67.2054055858396,8
183,67.2611640526316,8
184,67.3561373128655,8
185,67.5424021144444,8
186,67.6443722966667,8
187,67.7903001088889,8
188,67.9617676555556,8
189,68.1580430544444,8
190,68.2392207688889,8
191,68.2404072866667,8
192,67.9973327911111,8
193,67.8377969523026,9
194,67.5079511485247,9
195,66.9642568063063,9
196,66.6030053761261,9
197,66.2726457860361,9
198,66.1618348547297,9
199,66.1139192491111,9
200,66.5385718652159,9
201,66.5950876348684,9
202,66.8641295416666,9
203,66.9580278267544,9
204,66.9746703822222,9
205,67.1742434277778,9
206,67.2077808333333,9
207,67.2428222879365,9
208,67.2979380522222,9
209,67.3487184288889,9
210,67.4129973866667,9
211,67.718749704955,9
212,68.0116659322222,9
213,68.0885224232456,9
214,68.1632816661184,9
215,68.0760689144444,9
216,67.7208262233333,9
217,67.2463215333333,10
218,66.7869877633333,10
