hour_of_year,temperature,day_of_year
1,67.9276705813492,1
2,67.2013387480159,1
3,66.43146465873016,1
4,65.85592652380956,1
5,65.49671494047617,1
6,65.34986182341268,1
7,65.48314055753968,1
8,66.0043399265873,1
9,66.40823431746033,1
10,66.70513491468253,1
11,67.26579985515873,1
12,67.6489996309524,1
13,67.95533142857143,1
14,68.19329819444444,1
15,68.35541730753968,1
16,68.3980399543651,1
17,68.41689639880954,1
18,68.46613111309523,1
19,68.98061289880951,1
20,69.306324375,1
21,69.32265194570707,1
22,69.3630872601626,1
23,69.10530359146344,1
24,68.549771050813,1
25,67.7635734105691,2
26,66.85704125203252,2
27,66.02820938617887,2
28,65.49578992276423,2
29,65.20557939040026,2
30,65.21361047154473,2
31,65.54723144308943,2
32,66.4404406097561,2
33,66.89938790447154,2
34,67.16917694715445,2
35,67.55028724796747,2
36,67.93928548373982,2
37,68.178965703252,2
38,68.30160420731706,2
39,68.42181959552843,2
40,68.57363406910571,2
41,68.65926115650409,2
42,68.80423014430893,2
43,68.92274280284555,2
44,68.97653567886177,2
45,69.09296885569105,2
46,69.07579232723576,2
47,68.81174025203252,2
48,68.11048187398373,2
49,67.249043800813,3
50,66.44670740447152,3
51,65.69160219918699,3
52,65.04936295325203,3
53,64.6505078211382,3
54,64.78338235772358,3
55,65.1474426565041,3
56,65.84240244308944,3
57,66.51758803455284,3
58,67.02543054471543,3
59,67.38449900813008,3
60,67.56350208739839,3
61,67.642782,3
62,67.86047728658535,3
63,67.9663989390244,3
64,68.08611670325205,3
65,68.0497616585366,3
66,68.25455256504065,3
67,68.73323088414635,3
68,69.14438323170732,3
69,69.34204610975608,3
70,69.31014124796748,3
71,68.95111884146343,3
72,68.40177845325202,3
73,67.71757998170732,4
74,66.87910007317073,4
75,66.14932680081301,4
76,65.59959509349596,4
77,65.3539806077236,4
78,65.46455875203252,4
79,65.849117300813,4
80,66.59559201626016,4
81,67.0176780284553,4
82,67.28391804268293,4
83,67.72912888821138,4
84,67.870207101626,4
85,67.91314545731706,4
86,67.92840303861787,4
87,68.08118568495934,4
88,68.11267134959348,4
89,68.27945367276422,4
90,68.83949831707318,4
91,69.32828729471544,4
92,69.69665567276424,4
93,69.79494768495935,4
94,69.50167472560975,4
95,69.0522147012195,4
96,68.44807248170733,4
97,67.91722005894309,5
98,67.38252835975611,5
99,66.8388751219512,5
100,66.33743584959349,5
101,65.97700381097559,5
102,66.01504348170732,5
103,66.35067654878048,5
104,67.05706794105691,5
105,67.52935301219514,5
106,67.74609640853656,5
107,67.96944228252032,5
108,68.13012042479677,5
109,68.2742423191057,5
110,68.27478851422767,5
111,68.27272074999999,5
112,68.35069059552848,5
113,68.47210596747969,5
114,68.8443950386179,5
115,69.20727879878046,5
116,69.39730807926827,5
117,69.50482354674797,5
118,69.35646178252034,5
119,68.99405918292682,5
120,68.52832445325205,5
121,67.97626604471544,6
122,67.42880659349593,6
123,66.91523486178862,6
124,66.36022076219513,6
125,65.97552310569102,6
126,65.8678424369919,6
127,66.22350585975612,6
128,66.80460917479674,6
129,67.04741915650405,6
130,67.56930181707318,6
131,68.15254202032517,6
132,68.47455304674797,6
133,68.59551686585365,6
134,68.80954393699187,6
135,68.82886421138211,6
136,68.9888751686992,6
137,69.02086771341462,6
138,69.27656253861788,6
139,69.41846772357724,6
140,69.57377335365854,6
141,69.697003050813,6
142,69.54921423780488,6
143,69.1534999593496,6
144,68.57539504268293,6
145,67.98534873780488,7
146,67.32418378252032,7
147,66.75006412398375,7
148,66.2420085081301,7
149,65.92932338211381,7
150,65.90857721544714,7
151,66.190687101626,7
152,66.68044539227643,7
153,67.06390892886179,7
154,67.57802467886181,7
155,68.01237898577237,7
156,68.41216133739837,7
157,68.59028890969802,7
158,68.78782416041669,7
159,68.83379241458333,7
160,69.13157615624999,7
161,69.33082810833334,7
162,69.46061601219513,7
163,69.57852845121953,7
164,69.59027225609755,7
165,69.59699219918697,7
166,69.44558685772355,7
167,69.19287247764227,7
168,68.70417908943088,7
169,68.0842399817073,8
170,67.45342103455285,8
171,66.88254994512195,8
172,66.39753101626017,8
173,66.04403699593496,8
174,65.99386418902439,8
175,66.3280792174797,8
176,66.80946113690476,8
177,67.30858294246033,8
178,67.75578081349205,8
179,68.06935656944445,8
180,68.34251378174602,8
181,68.43720191666668,8
182,68.44571701785713,8
183,68.48369099007935,8
184,68.50020128769842,8
185,68.50644639285716,8
186,68.64025768849208,8
187,69.02319484325396,8
188,69.10781831150793,8
189,69.17635299186993,8
190,69.12203219308944,8
191,68.81625840040651,8
192,68.37619634756099,8
193,67.82391855691056,9
194,67.3629651707317,9
195,66.85866061178864,9
196,66.32985023373983,9
197,65.94449954878048,9
198,65.85488069345239,9
199,66.064559644536,9
200,66.71536368986567,9
201,67.17239867063489,9
202,67.35537420731707,9
203,67.81978925813007,9
204,68.01053648983739,9
205,68.09230411585366,9
206,68.19800621138212,9
207,68.40608757431457,9
208,68.71995827579364,9
209,68.95864716071429,9
210,69.27524027777778,9
211,69.5753139503968,9
212,69.59090852380952,9
213,69.44952450595237,9
214,69.30838365873016,9
215,68.91450972420635,9
216,68.31769325396824,9
217,67.64016927777777,10
218,66.98026858134921,10
219,66.34739233531747,10
220,65.83943114484127,10
221,65.38740737789988,10
222,65.28179990277779,10
223,65.51152143452383,10
224,66.10382248214287,10
225,66.72509518650794,10
226,67.3453768293651,10
227,67.75207872023809,10
228,67.73133815476189,10
229,67.70033306746033,10
230,67.89737292658732,10
231,67.91184178174603,10
232,68.11108006349204,10
233,68.2507792063492,10
234,68.6688089702381,10
235,69.09174202777777,10
236,69.21130626785714,10
237,69.22509355952381,10
238,69.11980952579364,10
239,68.72680151388889,10
240,68.25571397619046,10
241,67.63920466269843,11
242,66.95989997023808,11
243,66.3358162936508,11
244,65.87835443849205,11
245,65.49498016269843,11
246,65.56483701785713,11
247,65.82069859523808,11
248,66.58351082738093,11
249,67.162310125,11
250,67.48761462398375,11
251,67.80773659756098,11
252,67.89948084146342,11
253,68.02718218699188,11
254,68.15584796825397,11
255,68.37757603571428,11
256,68.62951459722221,11
257,68.86349038095238,11
258,69.02048069246032,11
259,69.31917949603175,11
260,69.39592324007938,11
261,69.34046810119048,11
262,69.18204477182537,11
263,68.95785148214286,11
264,68.50170427777775,11
265,67.95667157936508,12
266,67.33436131944445,12
267,66.7600214325397,12
268,66.24557203769842,12
269,65.81619297647391,12
270,65.8602788394309,12
271,66.08064580894307,12
272,66.71351541666667,12
273,67.35698078252031,12
274,67.68772495833332,12
275,67.85728400595238,12
276,67.96374967857145,12
277,67.98011975992061,12
278,68.03307192460318,12
279,68.1439842420635,12
280,68.3608725284553,12
281,68.54746357520322,12
282,68.83852281707317,12
283,69.19397676829269,12
284,69.3303685595238,12
