hour_of_year,temperature,day_of_year
1,68.67569309523809,1
2,68.63119738095239,1
3,68.66487004166666,1
4,68.42728731547619,1
5,68.13863133928572,1
6,68.02294905357142,1
7,67.84303677380952,1
8,67.92019401785714,1
9,68.19787533928569,1
10,68.13289211904761,1
11,68.3401043809524,1
12,68.66589513095238,1
13,68.78312475,1
14,68.9084765297619,1
15,69.14583701190476,1
16,69.20088268452382,1
17,69.26384983928573,1
18,69.70987342857144,1
19,69.84483988095236,1
20,69.7434268392857,1
21,69.75867885119047,1
22,69.50827151190475,1
23,69.17541792857143,1
24,68.6471018452381,1
25,68.44222014285715,2
26,68.26451830357142,2
27,68.16042827380953,2
28,67.98457505357143,2
29,67.89645729487181,2
30,67.87405133928571,2
31,67.73873244642859,2
32,67.89994282738095,2
33,67.89953567261905,2
34,68.41528500595237,2
35,68.74408596428573,2
36,69.40513526785715,2
37,69.47961676785715,2
38,69.53857002380951,2
39,69.42053032142857,2
40,69.72601436309523,2
41,69.7354901904762,2
42,69.85827527976188,2
43,69.9538113154762,2
44,70.1425149107143,2
45,70.09261064880953,2
46,70.02102967857142,2
47,69.62575541666668,2
48,69.29234501190477,2
49,68.88171396428571,3
50,68.63543055952381,3
51,68.39375661904764,3
52,68.25246982142856,3
53,68.26215546428571,3
54,68.43178773809525,3
55,68.26490099404762,3
56,68.4735301547619,3
57,68.7634112202381,3
58,68.90712455952381,3
59,69.18366705952381,3
60,69.33430863095238,3
61,69.66912723809524,3
62,69.79351735119047,3
63,69.67807422619047,3
64,69.67517404761905,3
65,69.53946436904762,3
66,69.75854777380952,3
67,69.6029224047619,3
68,69.64384059523809,3
69,69.83632278571429,3
70,69.65478474404762,3
71,69.46757045238095,3
72,69.1976082202381,3
73,69.13079701785715,4
74,68.9420570714286,4
75,68.75597613095239,4
76,68.62558614880953,4
77,68.33477175595239,4
78,68.20816631547619,4
79,68.19721244642857,4
80,68.37820016071429,4
81,68.64159666666669,4
82,69.0281793214286,4
83,69.11925905952381,4
84,69.39008357142858,4
85,69.55539928571429,4
86,69.7840784702381,4
87,69.89608388690476,4
88,69.77920986309523,4
89,69.85737875595238,4
90,69.71106020833334,4
91,69.85118952976191,4
92,69.81499391071428,4
93,70.12492342857142,4
94,69.91059429166667,4
95,70.02128376190475,4
96,69.71416790476191,4
97,69.41379115476191,5
98,69.33933302380953,5
99,69.06424169047618,5
100,68.94472188095239,5
101,68.57036051190475,5
102,68.50946360714286,5
103,68.41074146428572,5
104,68.61510047619048,5
105,68.96730534523809,5
106,68.92761595238095,5
107,69.11824610714287,5
108,69.27612342857142,5
109,69.45960594642858,5
110,69.6292819702381,5
111,69.78349338095238,5
112,70.00075997619048,5
113,70.11829831547621,5
114,70.19847562499999,5
115,70.3216167202381,5
116,70.44849920833335,5
117,70.38962731547619,5
118,70.29074356547619,5
119,70.09349282738094,5
120,69.90223935119047,5
121,69.54866905357143,6
122,69.25394570833333,6
123,69.1149320654762,6
124,68.84953626190476,6
125,68.77851314285714,6
126,68.45545869642858,6
127,68.28867810119047,6
128,68.45345171428572,6
129,68.56087310714287,6
130,68.78445991666665,6
131,69.0591848392857,6
132,69.39592722619048,6
133,69.75258903571428,6
134,69.9811356547619,6
135,69.88296227380953,6
136,69.89651890476192,6
137,69.89440276785714,6
138,69.68756757142857,6
139,69.57504505952382,6
140,69.71199095833335,6
141,69.85836991071429,6
142,69.94104189285714,6
143,69.86976923214284,6
144,69.69974344642857,6
145,69.53872541666667,7
146,69.29689962500001,7
147,69.16869125595237,7
148,68.73428970833334,7
149,68.64650032142856,7
150,68.48681044642858,7
151,68.53601870833334,7
152,68.38120489285714,7
153,68.61890089285714,7
154,68.83815805357142,7
155,69.03328991666665,7
156,69.44280689285713,7
157,69.64339924404761,7
158,70.10003426190477,7
159,70.20025948214287,7
160,70.31903257142856,7
161,70.31389195833333,7
162,70.61483514880953,7
163,70.69566937500001,7
164,70.73554249404762,7
165,70.67548537500001,7
166,70.24494504166667,7
167,69.79378363095236,7
168,69.43207999404763,7
169,69.17841692261905,8
170,68.89316177380952,8
171,68.78255104166666,8
172,68.56459429166668,8
173,68.53214922023808,8
174,68.37693520238096,8
175,68.4514656547619,8
176,68.42722973809524,8
177,68.69251992261904,8
178,68.92878011309524,8
179,69.14680123809525,8
180,69.53338317857144,8
