hour_of_year,temperature,day_of_year
1,67.78210479326923,1
2,67.4525580080128,1
3,67.13457390544873,1
4,66.87881900480771,1
5,66.61801480929488,1
6,66.4540556426282,1
7,66.76796598397438,1
8,67.0891190400641,1
9,67.41174063942307,1
10,67.73135826282049,1
11,68.04477573397435,1
12,68.30275096794873,1
13,68.48273094711539,1
14,68.80222004647436,1
15,69.00116113461539,1
16,69.04447130448717,1
17,69.07280488942307,1
18,69.09162486378207,1
19,69.23533746955128,1
20,69.32581657692307,1
21,69.25382373878205,1
22,69.09997164743588,1
23,68.75552091987178,1
24,68.29972039583335,1
25,67.86911071506412,2
26,67.40074251762819,2
27,67.03718923557693,2
28,66.64940759134616,2
29,66.41870957199211,2
30,66.19600216695804,2
31,66.51952737179487,2
32,66.87532373397437,2
33,67.29902313461538,2
34,67.57104023878205,2
35,67.96378426121795,2
36,68.10042281891025,2
37,68.47992424358975,2
38,68.67310755929485,2
39,68.7859024246795,2
40,68.8823314423077,2
41,68.78976083012823,2
42,68.80621101121794,2
43,68.99855788621795,2
44,69.23853313621795,2
45,69.42628320673077,2
46,69.48115216987179,2
47,69.10411323717948,2
48,68.60573485576923,2
49,68.06075241346153,3
50,67.54892294711537,3
51,67.17178530288462,3
52,66.76901818589744,3
53,66.60131054647437,3
54,66.43364343749998,3
55,66.75127682532053,3
56,67.16199764423075,3
57,67.40545117147437,3
58,67.53402411538464,3
59,67.74984935096154,3
60,67.95336666666665,3
61,68.18000303205125,3
62,68.29820330769233,3
63,68.39897113621797,3
64,68.52310774038459,3
65,68.43651374999999,3
66,68.59654372435898,3
67,68.81372698717948,3
68,69.00769871955127,3
69,68.98831930769231,3
70,68.86536692147438,3
71,68.63648434455126,3
72,68.21393185096157,3
73,67.72463109775639,4
74,67.11414458333333,4
75,66.66644184294871,4
76,66.36102415384615,4
77,66.16749849198717,4
78,66.10696396474358,4
79,66.47707595192311,4
80,67.11556314903845,4
81,67.42990939262823,4
82,67.60497715544872,4
83,67.9202167996795,4
84,68.11694181570512,4
85,68.23519239903848,4
86,68.26154250160256,4
87,68.22056083333335,4
88,68.19678907051284,4
89,68.22046703685896,4
90,68.43219976121794,4
91,68.81374387980769,4
92,69.19894950961537,4
93,69.1825815528846,4
94,69.14523682692308,4
95,68.88093315705129,4
96,68.31417128044873,4
97,67.82385011698719,5
98,67.43070277884615,5
99,67.07308343429487,5
100,66.79085589903848,5
101,66.62683659294872,5
102,66.6475140400641,5
103,67.0175835801282,5
104,67.32312237339742,5
105,67.6580185144231,5
106,67.81206675160257,5
107,67.98490719070513,5
108,68.18114899358974,5
109,68.3114398653846,5
110,68.3695684599359,5
111,68.30886601121793,5
112,68.31998881410256,5
113,68.30991882211536,5
114,68.50053157532048,5
115,69.00170026602562,5
116,69.39000588782052,5
117,69.54590920352565,5
118,69.485339525641,5
119,69.23425307692308,5
120,68.89823214743588,5
121,68.51846968910255,6
122,68.07620228365387,6
123,67.62754162660256,6
124,67.30570960897435,6
125,67.01349874358974,6
126,66.81957073076921,6
127,66.99731385096155,6
128,67.08469508012823,6
129,67.23361887339746,6
130,67.46214794070512,6
131,67.71300200480769,6
132,67.91970010620916,6
133,68.27585819500001,6
134,68.523826875,6
135,68.68687079833333,6
136,68.76248939379086,6
137,68.78914492788462,6
138,68.82777725641026,6
139,68.91476524038461,6
140,69.13367210416669,6
141,69.06148447115385,6
142,68.93546845192309,6
143,68.77325060897435,6
144,68.4108818605769,6
145,67.9845561907051,7
146,67.54878244070514,7
147,67.332471661859,7
148,67.06425404326922,7
149,66.79358874198716,7
150,66.55944483333332,7
151,66.81541195032051,7
152,67.1114235945513,7
153,67.31528229166668,7
154,67.70922015064104,7
155,68.16508408173075,7
156,68.29844582852563,7
157,68.44194081330126,7
158,68.56910579084968,7
159,68.63611442483659,7
160,68.71691706699345,7
161,68.7438922990196,7
162,68.8792124823718,7
163,68.95651204166667,7
164,69.11913584775643,7
165,69.08325395352564,7
166,68.97697214583334,7
167,68.93138127724357,7
168,68.47112291185896,7
169,68.04169488141027,8
170,67.65704764423077,8
171,67.30996387660257,8
172,66.91716160737178,8
173,66.68597480128204,8
174,66.57459434294871,8
175,66.86643832692306,8
176,67.26014203685898,8
177,67.58789847115385,8
178,67.75421992467949,8
179,68.00238005128207,8
180,68.17246213461539,8
181,68.36555868910257,8
182,68.43770180929488,8
183,68.44373290384614,8
184,68.34143639262821,8
185,68.34703499839745,8
186,68.59997795993588,8
187,68.83173127564102,8
188,69.03986308173077,8
189,69.09281742788461,8
190,69.14583057852566,8
191,68.8987553349359,8
192,68.5012197371795,8
193,68.13300104647435,9
194,67.78512362179484,9
195,67.50561093750001,9
196,67.31651059775642,9
197,67.10398976282052,9
198,66.94785437019232,9
199,67.15229054795364,9
200,67.52903862868062,9
201,67.8619989294872,9
202,67.90772009236596,9
203,68.02511875163398,9
204,68.03682727450982,9
205,68.24208370751633,9
206,68.28049053333334,9
207,68.33781164999999,9
208,68.27685453104576,9
