hour_of_year,temperature,day_of_year
1,65.2915625,1
2,65.1061875,1
3,64.98572916666667,1
4,65.22385416666667,1
5,65.25874999999999,1
6,65.25147916666667,1
7,65.60122916666667,1
8,65.78681250000001,1
9,66.07341666666666,1
10,66.27789583333333,1
11,66.2063125,1
12,66.34983333333334,1
13,66.3431875,1
14,66.38641666666666,1
15,66.7108125,1
16,67.3511875,1
17,68.14845833333332,1
18,68.46385416666666,1
19,68.51139583333334,1
20,68.14364583333334,1
21,67.84775,1
22,67.72483333333334,1
23,67.60439583333333,1
24,67.0495,1
25,66.21341666666666,2
26,65.61710416666666,2
27,65.19264583333333,2
28,65.154375,2
29,65.33004166666666,2
30,65.39066666666666,2
31,66.24335416666666,2
32,66.73235416666667,2
33,67.0840625,2
34,66.8320625,2
35,66.99041666666668,2
36,67.087625,2
37,67.212875,2
38,67.233125,2
39,67.552375,2
40,67.71483333333333,2
41,67.530125,2
42,67.8525625,2
43,67.94252083333333,2
44,68.02758333333334,2
45,68.02924999999999,2
46,68.09368749999999,2
47,67.5043125,2
48,66.83145833333333,2
49,66.24152083333333,3
50,66.15675,3
51,66.33700000000002,3
52,66.47002083333334,3
53,66.29327083333334,3
54,66.17360416666668,3
55,66.29054166666667,3
56,66.95777083333334,3
57,67.8635625,3
58,67.82249999999999,3
59,67.54545833333333,3
60,67.43074999999999,3
61,67.1688125,3
62,67.11866666666667,3
63,67.19697916666667,3
64,67.18102083333333,3
65,67.2240625,3
66,67.32604166666667,3
67,67.0023125,3
68,67.19677083333333,3
69,66.98720833333334,3
70,66.89599999999999,3
71,66.85300000000001,3
72,66.4183125,3
73,66.08277083333333,4
74,65.96666666666667,4
75,66.01664583333333,4
76,66.06404166666667,4
77,66.0668125,4
78,66.06479166666666,4
79,66.00227083333334,4
80,66.39291666666668,4
81,66.71650000000001,4
82,66.84879166666667,4
83,67.139875,4
84,67.307,4
85,67.36574999999999,4
86,67.55437500000001,4
87,67.48327083333334,4
88,68.18660416666667,4
89,68.07991666666666,4
90,68.55143749999999,4
91,68.5776875,4
92,68.42829166666667,4
93,68.63152083333334,4
94,68.77931249999999,4
95,68.57429166666667,4
96,68.16318749999999,4
97,68.01675,5
98,68.14695833333333,5
99,68.13354166666666,5
100,68.14708333333333,5
101,68.22935416666667,5
102,68.29977083333334,5
103,68.36491666666666,5
104,69.31958333333333,5
105,69.77652083333334,5
106,69.35572916666666,5
107,69.47574999999999,5
108,69.72658333333334,5
109,69.5893125,5
110,69.70470833333333,5
111,69.69210416666667,5
112,69.52566666666665,5
113,69.51235416666665,5
114,69.7685625,5
115,69.67347916666667,5
116,69.46527083333334,5
117,69.56941666666665,5
118,69.53325,5
119,69.12416666666667,5
120,68.35429166666665,5
121,67.86960416666668,6
122,67.44983333333333,6
123,67.17122916666668,6
124,67.13220833333332,6
125,67.11064583333334,6
126,66.99647916666666,6
127,67.04185416666667,6
128,67.54958333333333,6
129,69.3838125,6
130,69.53172916666668,6
131,68.66316666666665,6
132,68.24935416666666,6
133,68.09575000000001,6
134,68.37456250000001,6
135,68.4866875,6
136,68.54549999999999,6
137,68.4704375,6
138,68.73508333333334,6
139,69.67852083333332,6
140,70.06152083333333,6
141,70.26272916666666,6
142,70.10083333333333,6
143,69.53910416666666,6
144,68.88368750000001,6
145,68.6116875,7
146,68.40433333333333,7
147,68.11577083333333,7
148,67.87347916666667,7
149,67.73120833333334,7
150,67.728875,7
151,68.18360416666667,7
152,69.25072916666666,7
153,69.64529166666667,7
154,69.65210416666666,7
155,69.68825000000001,7
156,69.67972916666666,7
157,69.74197916666667,7
158,69.86677083333333,7
159,69.6571875,7
160,69.8131875,7
161,69.841125,7
162,69.88877083333334,7
163,70.14693749999999,7
164,70.33125,7
165,70.245,7
166,70.24574999999999,7
167,70.13577083333332,7
168,69.52791666666667,7
169,68.88977083333333,8
170,68.54445833333334,8
171,68.14352083333334,8
172,67.83722916666666,8
173,67.797875,8
174,67.70818749999998,8
175,68.03577083333333,8
176,68.93418750000001,8
177,69.2876875,8
178,69.1959375,8
179,68.77147916666667,8
180,68.89508333333333,8
181,69.171875,8
182,69.38929166666668,8
183,69.39522916666665,8
184,69.25558333333332,8
185,69.16543750000001,8
186,69.05766666666666,8
187,69.364375,8
188,69.3546875,8
189,69.32097916666666,8
190,69.36077083333333,8
191,69.39610416666666,8
192,68.84870833333333,8
193,68.37095833333333,9
194,67.94064583333333,9
195,67.50835416666668,9
196,67.28308333333332,9
197,67.18381249999999,9
198,67.217625,9
199,67.396,9
200,68.95383333333334,9
201,69.485875,9
202,69.20404166666667,9
203,69.08172916666665,9
204,68.9729375,9
205,69.03352083333334,9
206,69.02904166666667,9
207,68.88347916666666,9
208,68.93172916666666,9
209,68.996125,9
