hour_of_year,heat_runtime,aux_runtime,emg_runtime,temperature,day_of_year
1,0.34882978723404245,0.2780585106382979,0,29.248435286348293,1
2,0.3095744680851063,0.221090425531915,0,29.096156929531137,1
3,0.34021276595744676,0.34021276595744676,0,28.83951905762406,1
4,0.5224468085106383,0.29250000000000004,0,28.530283687947026,1
5,0.9344680851063826,0.4000241779787234,0,28.226156903812072,1
6,1.173104448829787,0.4619970982978725,0,27.92028367862408,1
7,1.3742843326595746,0.7758583168882975,0,27.73624556603767,1
8,1.3899516440425534,0.8556310444148936,0,27.610862144944278,1
9,1.193936170212766,0.5050822053989363,0,27.78192154565652,1
10,0.9960638297872343,0.5733510638297872,0,28.87669547561569,1
11,0.8815093085106386,0.3717283671542555,0,30.740523053635627,1
12,0.664443620425532,0.4326050514095745,0,32.43496453767422,1
13,0.7059574468085106,0.388085106382979,0,33.724120125452124,1
14,0.6418085106382978,0.3319294003723405,0,34.56178634751461,1
15,0.7254255319148938,0.2794656670212768,0,34.82345300664761,1
16,0.8323404255319153,0.340436170212766,0,34.36182181471673,1
17,0.8412765957446808,0.3406117021276596,0,33.26295655806779,1
18,0.7429787234042552,0.31460106382978725,0,32.05867685860242,1
19,0.6960638297872338,0.22859042553191505,0,31.2743173692327,1
20,0.7005319148936171,0.3301117021276596,0,30.71991578013165,1
21,0.667340425531915,0.2687451646276597,0,30.26387411525667,1
22,0.6204255319148936,0.27717649946808526,0,29.87760195478059,1
23,0.5467021276595743,0.29426982590425543,0,29.617943260647596,1
24,0.3520212765957446,0.18558510638297882,0,29.305217200355035,1
25,0.32840425531914896,0.2660904255319149,0,29.07580230806997,2
26,0.2993617021276595,0.2375265957446809,0,28.938224725182607,2
27,0.35265957446808516,0.254840425531915,0,28.86640071853058,2
28,0.571885880106383,0.34529013542553205,0,28.84893396055375,2
29,0.9067601546808511,0.33291586077127666,0,28.86290558421821,2
30,1.0807253384042554,0.5335735010106384,0,28.802218527473396,2
31,1.3743133461702124,0.76212620912234,0,28.59314494814094,2
32,1.2568955511702122,0.7586750481382981,0,28.447460116137773,2
33,1.0638394582978719,0.5409139269414894,0,28.593869679515553,2
34,0.8286266923404255,0.4689023206117023,0,29.68842198093456,2
35,0.6402127659574468,0.47010638297872376,0,31.5365868874069,2
36,0.6020019341489362,0.3719898452393618,0,33.26826241180053,2
37,0.6388781431914894,0.3142166344148938,0,34.59638519769947,2
38,0.553404255319149,0.2486010638297874,0,35.57271720213826,2
39,0.6823404255319148,0.2316861702127661,0,35.95291002172473,2
40,0.8776595744680851,0.2683999032446811,0,35.552242892279274,2
41,0.9514119922340422,0.41555077356382997,0,34.372699467640956,2
42,0.8811702127659575,0.25220744680851065,0,32.94636745745119,2
43,0.7902127659574467,0.2262765957446809,0,31.955935276582455,2
44,0.7009381043617022,0.21714603478723415,0,31.26894945700929,2
45,0.7736170212765957,0.2513297872340427,0,30.81669105140969,2
46,0.6818181817021274,0.33981382978723407,0,30.48427305319503,2
47,0.4653771759574467,0.27111702127659576,0,30.285403375438715,2
48,0.2984042553191489,0.18239361702127665,0,29.981835115239797,2
49,0.24693423606382978,0.1776774661436171,0,29.46710550664598,3
50,0.271102514361702,0.2445841393085107,0,29.009053628538982,3
51,0.3504255319148936,0.23046615079787242,0,28.81351063828817,3
52,0.5316441006382977,0.32122775625000005,0,28.481223418445474,3
53,0.8837524177659575,0.4235744680851066,0,28.187484480064754,3
54,0.9736363637234043,0.569934719521277,0,27.865321368347598,3
55,1.3148065764893617,0.7251281430319151,0,27.489982266851044,3
56,1.236615087127659,0.6658172151063834,0,27.314796098407324,3
57,1.2002901354255315,0.5383897485638299,0,27.57758865292327,3
58,0.7669527273600003,0.43160000000000015,0,29.269408884442125,3
59,0.5811200000000001,0.40793454544,0,31.578031116437348,3
60,0.6797292070212768,0.3335976789095746,0,33.414773936160884,3
61,0.6619148936170213,0.3246542553191492,0,34.718568269063866,3
62,0.7152127659574469,0.26512282396276615,0,35.48725620300137,3
63,0.6258510638297874,0.18952659574468086,0,35.76020832757441,3
64,0.8096808510638298,0.22752127659574475,0,35.09986480009175,3
65,0.9829787234042547,0.20862765957446822,0,33.99468528457717,3
66,0.869042553191489,0.21726063829787245,0,32.59214539273006,3
67,0.8463829787234042,0.25223936170212785,0,31.521600174208743,3
68,0.7532495163829784,0.1948143133244682,0,30.659339538998665,3
69,0.7046808510638296,0.2552074468085109,0,29.852499991577183,3
70,0.5658510638297872,0.15710106382978728,0,29.402570927752688,3
71,0.3284042553191489,0.14444390712765962,0,29.130828898043088,3
72,0.21913926510638299,0.19842359784574476,0,28.92866578280853,3
73,0.2954158608510638,0.2477756285904257,0,28.78284574379644,4
74,0.3444777561702128,0.22748791101063845,0,28.671502649828067,4
75,0.4286170212765961,0.25429787234042567,0,28.75750221499148,4
76,0.5806479689361705,0.28508268829787237,0,28.808594863019554,4
77,0.9383558993617025,0.3546687620744682,0,28.87818705717661,4
78,1.3244680851063826,0.4250933271542554,0,28.90947694414472,4
79,1.5284332688297868,0.6721334619414898,0,28.859929078446385,4
80,1.4719439071276592,0.7217770791223409,0,28.597234031903724,4
81,1.1717408122340423,0.5327770792021279,0,28.748045218957824,4
82,0.8226499034042556,0.46432833654255345,0,30.323820916667664,4
83,0.6704738878723405,0.3619729207180853,0,32.32392286835718,4
84,0.6630754353191491,0.36345261119680883,0,34.11632978811662,4
85,0.6384719537234045,0.21068907151595762,0,35.55857712765429,4
86,0.5451063829787236,0.1924468085106383,0,36.53191046632181,4
87,0.5990425531914896,0.30000000000000016,0,36.75931959440826,4
88,0.7244680851063833,0.22196808510638322,0,36.17297428635104,4
89,0.8498936170212763,0.2137492875797873,0,34.65802748182578,4
90,0.9006382978723403,0.14140473885638302,0,33.02244902705581,4
91,0.7595744680851063,0.2517287234042554,0,31.888687949917717,4
92,0.7484420772303596,0.25901464713715067,0,31.134884589476176,4
93,0.6911895552127661,0.2692238880319151,0,30.53289007628688,4
94,0.6248355900000001,0.2690498065691492,0,30.015585097161832,4
95,0.4379303674468085,0.24649903292553213,0,29.515376760145898,4
96,0.29939071563829783,0.2069825918617022,0,29.182056743393773,4
97,0.3711992262765957,0.25200435207446814,0,28.827845754836005,5
98,0.3947872340425531,0.24935686715425537,0,28.557655135998107,5
99,0.47477756297872376,0.28084381061170227,0,28.227030134309768,5
100,0.5833752418085109,0.31210589976063824,0,27.885000003410486,5
101,1.02467118,0.4120111218351064,0,27.647096626165258,5
102,1.2905222438297868,0.4605638293085107,0,27.37523492863469,5
103,1.4643423596808511,0.5642915865159579,0,27.15607268861117,5
104,1.4325435204255312,0.576897969414894,0,26.95454344987276,5
105,1.2807446808510636,0.7112959376329792,0,27.226172437849286,5
106,1.108723404255319,0.5542746614361705,0,28.895407791231115,5
107,0.8579883944680848,0.42570116042553224,0,31.00902925407581,5
108,0.8026595744680854,0.4004521276595748,0,32.74515956356249,5
109,0.8587427467021277,0.3833486463829789,0,34.29208776880849,5
110,0.7726595744680849,0.1738563829787235,0,35.26438608094283,5
111,0.7582978723404252,0.200904255319149,0,35.69640958156513,5
112,0.8282205028723405,0.21439555125,0,35.25352393669947,5
113,1.0112959381914888,0.36335831720744693,0,34.04754432008374,5
114,0.8590618956382979,0.29625870406914895,0,32.5818860875918,5
115,0.8979980658510638,0.3387388781648937,0,31.735199474025283,5
116,0.8189071567021278,0.3185062863031916,0,31.103280141845747,5
117,0.6848936170212766,0.2260009671542554,0,30.54841756031248,5
118,0.6504255319148935,0.22989603430851074,0,30.161626770260643,5
119,0.4308510638297871,0.1916561896276597,0,29.843364359878986,5
120,0.3810638297872339,0.23049081239361713,0,29.561307626004005,5
121,0.41190522255319184,0.2231503868617023,0,29.377247328763243,6
122,0.4533365569148938,0.23978965180851075,0,29.197251771360353,6
123,0.4582108318085109,0.2749032881648936,0,29.079113483081144,6
124,0.52935203106383,0.26891634438829787,0,28.957491131606385,6
125,1.0178529979787232,0.3393931334840425,0,28.79943040341088,6
126,1.4197195356382983,0.4699903288563832,0,28.623825354083763,6
127,1.4426692455319148,0.6469247188563831,0,28.404889184793856,6
128,1.384787234042553,0.5866682784574473,0,28.244100187502625,6
129,1.2457833654255315,0.6510478724202129,0,28.670691491218086,6
130,0.9349903289361701,0.5185662478723407,0,30.160904256114367,6
131,0.7019245646808514,0.36152321106382984,0,32.09313829915692,6
132,0.5512282397872343,0.3790401355053192,0,33.91750887367419,6
133,0.7157930368085108,0.3784374789893618,0,35.10587102216088,6
134,0.8247098645744678,0.27232833654255323,0,35.7128346542526,6
135,0.8486170212765954,0.1853457446808511,0,35.958448584659564,6
136,0.9851837524468084,0.19371615095744696,0,35.67447694369682,6
137,0.941170212765957,0.19115570664893625,0,35.01113919236704,6
138,0.8057640232978723,0.24821083172872357,0,34.26716975975932,6
139,0.7267021276595742,0.2204521276595746,0,33.89837544326064,6
140,0.7560638297872339,0.2042117988031915,0,33.59271276329654,6
141,0.7329400388297871,0.14314555125000003,0,33.34414450753193,6
142,0.48031914893617017,0.23723646031914902,0,33.140113028372355,6
143,0.3135493228723404,0.16397001933510646,0,33.01427303279696,6
144,0.23181818170212756,0.2308099613297873,0,32.87116577793271,6
145,0.29361702127659567,0.2020662475531916,0,32.7622074534694,7
146,0.34717601553191485,0.2093834625000001,0,32.740953016836336,7
147,0.329796905106383,0.20145551257978736,0,32.76382092908301,7
148,0.47242746606383,0.22315038686170222,0,32.914565608160096,7
149,0.7722866728723407,0.2396326225531916,0,33.151325350178176,7
150,1.3307350097872346,0.2631455512500001,0,33.34642508421597,7
151,1.4411025143617022,0.414029013031915,0,33.64337988341767,7
152,1.0710638297872344,0.4583283368617025,0,33.90908245743936,7
153,0.7810444873404258,0.36878529973404267,0,34.2871165757912,7
154,0.6809477757446808,0.3202151837234044,0,35.01634973404082,7
155,0.6541102515957451,0.26403771757978733,0,35.98999334796145,7
156,0.5397969051063832,0.20299323015957454,0,37.085919777031975,7
157,0.5262185687234043,0.14527079305851073,0,37.86265514982846,7
