zipcode,cooling_zone,heating_zone,state,city,latitude,longitude,elevation_ft,hdd,cdd
98204,1,1,WA,EVERETT SNOHOMISH AP,47.9078,-122.2803,606,"5,096",76
98204,1,1,WA,EVERETT SNOHOMISH AP,47.9078,-122.2803,606,"5,096",76
98204,1,1,WA,EVERETT SNOHOMISH AP,47.9078,-122.2803,606,"5,096",76
98205,1,1,WA,EVERETT,47.9753,-122.195,60,"4,937",111
98206,1,1,WA,EVERETT SNOHOMISH AP,47.9078,-122.2803,606,"5,096",76
98207,1,1,WA,EVERETT,47.9753,-122.195,60,"4,937",111
98207,1,1,WA,EVERETT,47.9753,-122.195,60,"4,937",111
98208,1,1,WA,EVERETT SNOHOMISH AP,47.9078,-122.2803,606,"5,096",76
98213,1,1,WA,EVERETT,47.9753,-122.195,60,"4,937",111
98247,1,1,WA,CLEARBROOK,48.9672,-122.3292,64,"5,298",81
98247,1,1,WA,CLEARBROOK,48.9672,-122.3292,64,"5,298",81
98247,1,1,WA,CLEARBROOK,48.9672,-122.3292,64,"5,298",81
98247,1,1,WA,CLEARBROOK,48.9672,-122.3292,64,"5,298",81
98276,1,1,WA,CLEARBROOK,48.9672,-122.3292,64,"5,298",81
98276,1,1,WA,CLEARBROOK,48.9672,-122.3292,64,"5,298",81
99011,1,2,WA,SPOKANE WFO,47.6811,-117.6267,"2,392","7,139",249
99011,1,2,WA,SPOKANE WFO,47.6811,-117.6267,"2,392","7,139",249
99012,1,2,ID,PLUMMER 3 WSW,47.3117,-116.9561,"2,909","7,234",232
98024,1,1,WA,MONROE,47.8453,-121.9944,120,"5,007",127
98024,1,1,WA,MONROE,47.8453,-121.9944,120,"5,007",127
98024,1,1,WA,MONROE,47.8453,-121.9944,120,"5,007",127
99104,1,2,WA,PULLMAN MOSCOW RGNL AP,46.7439,-117.1086,"2,551","6,607",214
99104,1,2,WA,PULLMAN MOSCOW RGNL AP,46.7439,-117.1086,"2,551","6,607",214
99128,1,2,ID,POTLATCH 3 NNE,46.9603,-116.855,"2,760","7,127",131
98248,1,1,WA,BELLINGHAM INTL AP,48.7939,-122.5372,149,"5,559",42
98248,1,1,WA,BELLINGHAM INTL AP,48.7939,-122.5372,149,"5,559",42
99013,2,2,WA,SPOKANE FELTS FLD,47.6831,-117.3214,"1,953","6,294",407
98331,1,1,WA,FORKS 1 E,47.9558,-124.3539,350,"5,477",58
98331,1,1,WA,FORKS 1 E,47.9558,-124.3539,350,"5,477",58
98331,1,1,WA,FORKS 1 E,47.9558,-124.3539,350,"5,477",58
